# IAZAHLN,IAZAHLF,AT0(3),FCOR(3),FCOR1(far),FCOR2(near), fcor2_1,fcor2_2
#  2160   61  1.00  1.00  1.00    1.39   1.41   1.39   1.64  0.842   1.00  1.00
# Table for near sidelobes (IAZAHLN rows)
# AP1,AP2,AT1,AT2 cell edges (phi_low, phi_high, radius_low, radius_high)
# also used to calculate solid angle
# Factor (only one column is used!): "Gain"
# AP1,AP2,AT1,AT2,AG //  IAZAHLN CARDS  FOR NEAR SIDELOBE REGION
 355.00 360.00   0.50   0.62    0.6297630000E+03    0.6297630000E+03
   0.00   5.00   0.62   0.75    0.5568026730E+03    0.5568026730E+03
   5.00  10.00   0.62   0.75    0.2931353760E+03    0.2931353760E+03
  10.00  15.00   0.62   0.75    0.6749503330E+02    0.6749503330E+02
  15.00  20.00   0.62   0.75    0.1884726720E+02    0.1884726720E+02
  20.00  25.00   0.62   0.75    0.2033680730E+02    0.2033680730E+02
  25.00  30.00   0.62   0.75    0.1729464530E+02    0.1729464530E+02
  30.00  35.00   0.62   0.75    0.5310351370E+01    0.5310351370E+01
  35.00  40.00   0.62   0.75    0.1071701650E+01    0.1071701650E+01
  40.00  45.00   0.62   0.75    0.7696850300E+00    0.7696850300E+00
  45.00  50.00   0.62   0.75    0.7748559710E+00    0.7748559710E+00
  50.00  55.00   0.62   0.75    0.1071701650E+01    0.1071701650E+01
  55.00  60.00   0.62   0.75    0.5310351850E+01    0.5310351850E+01
  60.00  65.00   0.62   0.75    0.1729464530E+02    0.1729464530E+02
  65.00  70.00   0.62   0.75    0.2033680920E+02    0.2033680920E+02
  70.00  75.00   0.62   0.75    0.1884726910E+02    0.1884726910E+02
  75.00  80.00   0.62   0.75    0.6749503330E+02    0.6749503330E+02
  80.00  85.00   0.62   0.75    0.2931353450E+03    0.2931353450E+03
  85.00  90.00   0.62   0.75    0.5281249390E+03    0.5281249390E+03
  90.00  95.00   0.62   0.75    0.5568026730E+03    0.5568026730E+03
  95.00 100.00   0.62   0.75    0.2931353760E+03    0.2931353760E+03
 100.00 105.00   0.62   0.75    0.6749503330E+02    0.6749503330E+02
 105.00 110.00   0.62   0.75    0.1884726720E+02    0.1884726720E+02
 110.00 115.00   0.62   0.75    0.2033680730E+02    0.2033680730E+02
 115.00 120.00   0.62   0.75    0.1729464530E+02    0.1729464530E+02
 120.00 125.00   0.62   0.75    0.5310351370E+01    0.5310351370E+01
 125.00 130.00   0.62   0.75    0.1071701530E+01    0.1071701530E+01
 130.00 135.00   0.62   0.75    0.7696849700E+00    0.7696849700E+00
 135.00 140.00   0.62   0.75    0.7748557930E+00    0.7748557930E+00
 140.00 145.00   0.62   0.75    0.1071701410E+01    0.1071701410E+01
 145.00 150.00   0.62   0.75    0.5310352330E+01    0.5310352330E+01
 150.00 155.00   0.62   0.75    0.1729464720E+02    0.1729464720E+02
 155.00 160.00   0.62   0.75    0.2033680920E+02    0.2033680920E+02
 160.00 165.00   0.62   0.75    0.1884726720E+02    0.1884726720E+02
 165.00 170.00   0.62   0.75    0.6749501800E+02    0.6749501800E+02
 170.00 175.00   0.62   0.75    0.2931352840E+03    0.2931352840E+03
 175.00 180.00   0.62   0.75    0.5281247560E+03    0.5281247560E+03
 180.00 185.00   0.62   0.75    0.5568024900E+03    0.5568024900E+03
 185.00 190.00   0.62   0.75    0.2931352840E+03    0.2931352840E+03
 190.00 195.00   0.62   0.75    0.6749501800E+02    0.6749501800E+02
 195.00 200.00   0.62   0.75    0.1884726520E+02    0.1884726520E+02
 200.00 205.00   0.62   0.75    0.2033680730E+02    0.2033680730E+02
 205.00 210.00   0.62   0.75    0.1729464530E+02    0.1729464530E+02
 210.00 215.00   0.62   0.75    0.5310351850E+01    0.5310351850E+01
 215.00 220.00   0.62   0.75    0.1071701410E+01    0.1071701410E+01
 220.00 225.00   0.62   0.75    0.7748557930E+00    0.7748557930E+00
 225.00 230.00   0.62   0.75    0.7696848510E+00    0.7696848510E+00
 230.00 235.00   0.62   0.75    0.1071701410E+01    0.1071701410E+01
 235.00 240.00   0.62   0.75    0.5310351370E+01    0.5310351370E+01
 240.00 245.00   0.62   0.75    0.1729464530E+02    0.1729464530E+02
 245.00 250.00   0.62   0.75    0.2033680730E+02    0.2033680730E+02
 250.00 255.00   0.62   0.75    0.1884726330E+02    0.1884726330E+02
 255.00 260.00   0.62   0.75    0.6749501040E+02    0.6749501040E+02
 260.00 265.00   0.62   0.75    0.2931352840E+03    0.2931352840E+03
 265.00 270.00   0.62   0.75    0.5568024900E+03    0.5568024900E+03
 270.00 275.00   0.62   0.75    0.5281248170E+03    0.5281248170E+03
 275.00 280.00   0.62   0.75    0.2931352840E+03    0.2931352840E+03
 280.00 285.00   0.62   0.75    0.6749501800E+02    0.6749501800E+02
 285.00 290.00   0.62   0.75    0.1884726720E+02    0.1884726720E+02
 290.00 295.00   0.62   0.75    0.2033680920E+02    0.2033680920E+02
 295.00 300.00   0.62   0.75    0.1729464530E+02    0.1729464530E+02
 300.00 305.00   0.62   0.75    0.5310351850E+01    0.5310351850E+01
 305.00 310.00   0.62   0.75    0.1071701530E+01    0.1071701530E+01
 310.00 315.00   0.62   0.75    0.7748558520E+00    0.7748558520E+00
 315.00 320.00   0.62   0.75    0.7696850300E+00    0.7696850300E+00
 320.00 325.00   0.62   0.75    0.1071701650E+01    0.1071701650E+01
 325.00 330.00   0.62   0.75    0.5310350890E+01    0.5310350890E+01
 330.00 335.00   0.62   0.75    0.1729464340E+02    0.1729464340E+02
 335.00 340.00   0.62   0.75    0.2033680730E+02    0.2033680730E+02
 340.00 345.00   0.62   0.75    0.1884726520E+02    0.1884726520E+02
 345.00 350.00   0.62   0.75    0.6749503330E+02    0.6749503330E+02
